"Route","Total_Ins","Total_Outs","NbrStops","Mean_Ins","Mean_Outs","Mean_Load","NbrTrips","Lat","Lon","Mean_DwellTime"
"1",51462,51462,41133,1.25111224564219,1.25111224564219,10.5027528606166,1738,40.030094,-75.074302,00:00:10
"12",23027,23027,22752,1.01208684950774,1.01208684950774,5.24284181154754,1644,39.916683,-75.181129,00:00:21
"14",16114,16114,14319,1.12535791605559,1.12535791605559,5.93780941422034,1354,40.030094,-75.074302,00:00:08
"16",149306,149306,107193,1.3928708031308,1.3928708031308,13.6480159554909,3837,40.074832,-75.159095,00:00:20
"17",9582,9582,11271,0.850146393398989,0.850146393398989,3.92489943965217,849,39.916618,-75.181098,00:00:23
"18",23395,23395,19730,1.18575772934617,1.18575772934617,6.29683014869843,863,40.038722,-75.14421,00:00:13
"19",18339,18339,16192,1.13259634387352,1.13259634387352,6.58296873817273,1073,40.02399,-75.077728,00:00:10
"2",77506,77506,65639,1.18079190725026,1.18079190725026,7.85827673125397,2559,40.013263,-75.157409,00:00:14
"20",67918,67918,50935,1.33342495337194,1.33342495337194,10.6448813110059,3937,40.030094,-75.074302,00:00:06
"21",212991,212991,169945,1.25329371267175,1.25329371267175,9.0100244967722,7529,39.966087,-75.23587,00:00:20
"22",81339,81339,60491,1.34464631102147,1.34464631102147,11.8662318131914,3067,40.038722,-75.14421,00:00:12
"23",292736,292736,213610,1.37042273301812,1.37042273301812,14.1448002878733,5368,40.077716,-75.208297,00:00:16
"24",29384,29384,24673,1.190937462003,1.190937462003,6.42299460431655,2111,40.030094,-75.074302,00:00:12
"25",141415,141415,107959,1.30989542326253,1.30989542326253,9.72755905511811,4184,39.960453,-75.140701,00:00:10
"26",184058,184058,108046,1.70351516946486,1.70351516946486,12.2901626759276,5225,40.029853,-75.180931,00:00:16
"28",15421,15421,14155,1.08943836100318,1.08943836100318,5.59838222122705,926,40.030094,-75.074302,00:00:13
"29",190781,190781,135705,1.40585092664235,1.40585092664235,7.35692446956891,9875,39.916683,-75.181129,00:00:28
"3",281848,281848,203336,1.38611952630129,1.38611952630129,10.7348066642575,6729,40.022861,-75.078865,00:00:15
"30",36781,36781,30574,1.20301563419899,1.20301563419899,5.46881526162932,2084,39.962818,-75.258613,00:00:17
"31",81043,81043,63522,1.27582569818331,1.27582569818331,10.2733743644635,2085,39.978572,-75.270812,00:00:15
"32",80215,80215,72643,1.1042357832138,1.1042357832138,7.01615723310574,3592,40.032665,-75.214927,00:00:13
"35",2593,2593,2678,0.968259895444361,0.968259895444361,2.06002270850537,438,40.015144,-75.164581,00:00:16
"37",29657,29657,24104,1.2303767009625,1.2303767009625,9.80818039933265,1303,39.9248,-75.169692,00:00:18
"38",54736,54736,50553,1.08274484204696,1.08274484204696,8.09241428404858,3006,39.966087,-75.23587,00:00:18
"39",44853,44853,38232,1.17317953546767,1.17317953546767,4.8594047672622,2663,39.992,-75.186088,00:00:12
"4",87736,87736,72622,1.20811875189337,1.20811875189337,8.94006623974483,2460,40.041435,-75.139312,00:00:14
"40",156616,156616,118059,1.32659094181723,1.32659094181723,9.01645128303263,5203,39.966087,-75.23587,00:00:14
"42",218217,218217,185010,1.17948759526512,1.17948759526512,7.90141524223026,8027,39.951774,-75.267791,00:00:16
"43",67414,67414,55338,1.21822255954317,1.21822255954317,5.39632653969384,3899,39.966087,-75.23587,00:00:13
"44",85851,85851,67131,1.27885775573133,1.27885775573133,6.06994634535364,4167,40.007846,-75.287033,00:00:19
"45",54348,54348,41706,1.3031218529708,1.3031218529708,7.55603693121603,2962,39.916683,-75.181129,00:00:22
"46",114199,114199,69621,1.64029531319573,1.64029531319573,7.2644341644735,4621,39.98384,-75.245956,00:00:25
"47",230802,230802,165311,1.3961684340425,1.3961684340425,12.1477944569321,4658,40.046291,-75.12799,00:00:13
"47M",4020,4020,3456,1.16319444444444,1.16319444444444,5.35895549834498,404,39.913726,-75.155731,00:00:08
"5",116628,116628,97148,1.20051879606374,1.20051879606374,6.87593633269418,5075,40.022628,-75.078514,00:00:11
"50",31339,31339,21301,1.4712454814328,1.4712454814328,11.8293753900267,1820,40.030094,-75.074302,00:00:09
"52",308080,308080,188531,1.63410791859164,1.63410791859164,9.12269105160026,10403,39.992336,-75.233795,00:00:22
"53",45578,45578,35936,1.26831032947462,1.26831032947462,4.87568491756564,2634,40.01691,-75.14891,00:00:15
"55",7421,7421,7077,1.04860816730253,1.04860816730253,7.31760659354922,531,40.038722,-75.14421,00:00:09
"56",105820,105820,73652,1.43675663933091,1.43675663933091,13.0325892808223,2807,40.030025,-75.036178,00:00:17
"57",123570,123570,105965,1.16613976312934,1.16613976312934,7.89359295095839,4142,40.034141,-75.115425,00:00:10
