"Stop","Total_Ins","Total_Outs","NbrStops","Mean_Ins","Mean_Outs","Mean_Load","NbrTrips","Lat","Lon","Mean_DwellTime"
"10",499,169,397,1.25692695214106,0.425692695214106,11.0790408525755,1126,40.071392,-75.038276,00:00:06
"1003",853,624,852,1.00117370892019,0.732394366197183,11.1906496660595,1647,40.054569,-75.125045,00:00:07
"1006",2267,629,1365,1.66080586080586,0.460805860805861,15.2419847328244,2620,40.034843,-75.044662,00:00:07
"1007",1772,1528,1511,1.17273328921244,1.01125082726671,15.9858724704086,2619,40.032382,-75.050949,00:00:08
"1008",6821,1277,1620,4.21049382716049,0.788271604938272,13.3525925925926,2025,40.061286,-75.083656,00:00:19
"1009",1705,1144,853,1.99882766705744,1.3411488862837,13.5665512122712,2021,40.054321,-75.071662,00:00:06
"101",36681,21020,10630,3.45070555032926,1.97742238946378,3.18831168831169,14168,39.925312,-75.14167,00:05:40
"1013",2472,1634,1396,1.77077363896848,1.17048710601719,11.8229414564493,2101,40.044666,-75.054794,00:00:15
"1014",1,24,5,0.2,4.8,8.10186335403727,805,40.031257,-75.036186,00:00:00
"1016",32,165,122,0.262295081967213,1.35245901639344,3.23647294589178,499,40.030761,-75.022544,00:00:02
"10185",427,777,705,0.605673758865248,1.10212765957447,12.2350035285815,2834,39.98067,-75.252586,00:00:03
"10188",205,315,289,0.709342560553633,1.08996539792388,11.9922288943836,2831,39.982192,-75.249771,00:00:01
"10189",333,611,556,0.598920863309353,1.09892086330935,11.87932251235,2834,39.982833,-75.248481,00:00:02
"1019",737,148,422,1.74644549763033,0.350710900473934,8.35105407882677,1091,40.031364,-75.021713,00:00:07
"1021",4731,541,1094,4.32449725776965,0.494515539305302,7.07134703196347,1752,40.030818,-75.035629,00:00:12
"1023",1765,2699,1087,1.62373505059798,2.48298068077277,11.3938002296211,1742,40.044288,-75.053901,00:00:15
"1024",5361,3140,1726,3.10602549246813,1.81923522595597,13.3776321946654,2137,40.047897,-75.060127,00:00:17
"1025",913,631,663,1.37707390648567,0.951734539969834,13.7544517338332,2134,40.052169,-75.067619,00:00:04
"10255",571,1901,1106,0.51627486437613,1.71880650994575,4.15371254884933,2303,39.951511,-75.157218,00:00:07
"10257",153,55,132,1.15909090909091,0.416666666666667,3.00959232613909,417,39.951572,-75.156562,00:00:05
"10258",340,584,373,0.911528150134048,1.5656836461126,7.77712609970675,682,39.951782,-75.158111,00:00:10
"10259",1062,3908,1691,0.628030751034891,2.3110585452395,5.4368932038835,2575,39.951747,-75.15921,00:00:10
"10262",4545,668,1855,2.45013477088949,0.36010781671159,5.77315634218289,3390,39.951953,-75.159553,00:00:16
"10263",1446,3603,1656,0.873188405797101,2.17572463768116,6.52833850931677,2576,39.95203,-75.161598,00:00:11
"10264",466,547,415,1.12289156626506,1.31807228915663,8.05425219941349,682,39.952152,-75.161262,00:00:09
"10266",4931,19719,5768,0.854889042995839,3.41868932038835,5.49288187764525,7797,39.952548,-75.165473,00:00:27
"1027",1321,2178,1416,0.932909604519774,1.53813559322034,10.7086553323029,3882,40.05751,-75.076889,00:00:05
"10272",1935,5603,3264,0.592830882352941,1.71660539215686,8.01925925925926,7425,39.953121,-75.170173,00:00:06
"10275",1975,4145,2752,0.71765988372093,1.5061773255814,8.26978836860523,6001,39.953319,-75.171722,00:00:07
"10279",1765,949,1571,1.12348822406111,0.604073838319542,11.7046246804555,4303,39.953872,-75.174919,00:00:05
"1028",4691,4750,2620,1.79045801526718,1.81297709923664,10.4878990731205,3884,40.061233,-75.083305,00:00:16
"10281",3880,2280,2710,1.43173431734317,0.841328413284133,11.8379639018455,4931,39.954067,-75.176498,00:00:12
"10282",1421,1298,1336,1.06362275449102,0.971556886227545,12.1169644929218,4309,39.954216,-75.177658,00:00:04
"10283",1340,1470,1414,0.947666195190948,1.03960396039604,8.46458141674333,4348,39.954086,-75.177925,00:00:05
"10285",504,1275,927,0.543689320388349,1.37540453074434,9.52563866936225,10882,39.95425,-75.179244,00:00:01
"10288",81,240,202,0.400990099009901,1.18811881188119,3.95945945945946,666,39.949897,-75.143852,00:00:05
"1029",61,61,98,0.622448979591837,0.622448979591837,5.39491298527443,747,40.065498,-75.09008,00:00:01
"103",6879,5924,1941,3.54404945904173,3.05203503348789,9.81344307270233,2187,39.916919,-75.171165,00:00:31
"1030",537,658,718,0.747910863509749,0.916434540389972,8.81502242152466,1784,40.054931,-75.124557,00:00:05
"10311",193,5,123,1.56910569105691,0.040650406504065,1.6280193236715,414,39.950401,-75.147087,00:00:05
"1032",1570,308,957,1.6405433646813,0.32183908045977,6.40129975629569,2462,40.004306,-75.067153,00:00:05
"10329",13,58,60,0.216666666666667,0.966666666666667,1.31116389548694,421,39.950702,-75.150543,00:00:02
"10331",191,2537,1136,0.168133802816901,2.23327464788732,1.49484536082474,2231,39.950874,-75.152153,00:00:07
"10338",781,310,420,1.85952380952381,0.738095238095238,7.85131195335277,686,39.95119,-75.153366,00:00:12
"10340",215,1773,928,0.231681034482759,1.91056034482759,3.48069414316703,2305,39.951328,-75.155708,00:00:06
"10341",112,21,89,1.25842696629213,0.235955056179775,2.80145278450363,413,39.951385,-75.15496,00:00:04
"1036",818,1144,692,1.18208092485549,1.65317919075145,8.07165913492576,1549,40.004371,-75.067329,00:00:06
"1037",113,1043,417,0.270983213429257,2.50119904076739,2.46858638743455,1528,39.984245,-75.099121,00:00:02
"1041",746,1682,742,1.00539083557951,2.26684636118598,8.67391304347826,1012,40.02275,-75.133384,00:00:14
"1042",278,727,341,0.81524926686217,2.13196480938416,6.18577075098814,1012,40.024604,-75.147689,00:00:05
"1045",2571,1291,779,3.30038510911425,1.65725288831836,6.26716141001855,1078,40.024551,-75.148246,00:00:27
"1046",1734,929,779,2.22593068035943,1.19255455712452,9.17084493964717,1077,40.022651,-75.133628,00:00:15
"1047",159,536,292,0.544520547945205,1.83561643835616,8.23286384976526,1065,40.01831,-75.099037,00:00:02
"10485",31,42,49,0.63265306122449,0.857142857142857,5.04790419161677,334,40.109714,-74.986602,00:00:01
"105",3897,1210,1398,2.78755364806867,0.86552217453505,11.3672612801679,1906,39.919704,-75.188102,00:00:15
"1051",131,12,84,1.55952380952381,0.142857142857143,3.848,375,40.073856,-75.197517,00:00:02
"1052",1176,1348,1062,1.10734463276836,1.26930320150659,11.8557504873294,1539,40.100681,-75.153884,00:00:09
"1053",70,14,67,1.04477611940298,0.208955223880597,6.81117021276596,376,40.092098,-75.13665,00:00:02
"1055",88,58,104,0.846153846153846,0.557692307692308,6.03116147308782,706,40.081405,-75.116874,00:00:02
"1056",2987,4884,1616,1.84839108910891,3.02227722772277,11.6891634980989,2104,40.047779,-75.060173,00:00:16
"1058",985,184,356,2.76685393258427,0.51685393258427,1.43795620437956,685,40.042633,-75.055656,00:07:28
"106",186,246,230,0.808695652173913,1.0695652173913,11.5221518987342,632,39.939376,-75.179748,00:00:05
"1060",25,69,48,0.520833333333333,1.4375,8.94087403598972,389,40.08123,-75.116783,00:00:01
"1062",2,0,1,2,0,2,1,40.093822,-75.1566,00:00:00
"1063",152,202,197,0.771573604060914,1.0253807106599,6.40203562340967,393,40.092353,-75.138328,00:00:06
"1064",194,533,290,0.668965517241379,1.83793103448276,5.3027989821883,393,40.100578,-75.153312,00:00:10
"1066",19,121,73,0.26027397260274,1.65753424657534,3.22520107238606,373,40.074089,-75.197509,00:00:02
"1068",17757,7454,6432,2.7607276119403,1.15889303482587,1.54731613802719,11476,39.927486,-75.194389,00:04:12
"1069",6354,3295,3769,1.6858583178562,0.874237198195808,12.5294117647059,5814,39.925567,-75.179336,00:00:12
"1072",967,2712,1956,0.494376278118609,1.38650306748466,11.8419940109213,5677,39.925247,-75.175933,00:00:04
"1076",6,32,27,0.222222222222222,1.18518518518519,6.35555555555556,270,40.125442,-75.164642,00:00:00
"1077",0,21,14,0,1.5,14.921875,64,40.149639,-75.130706,00:00:01
"1078",16,22,27,0.592592592592593,0.814814814814815,5.17241379310345,87,40.167602,-75.145408,00:00:02
"1079",6,62,52,0.115384615384615,1.19230769230769,1.47786666666667,1875,40.17358,-75.139678,00:00:00
"108",109,473,282,0.386524822695035,1.67730496453901,6.22586520947177,549,39.974075,-75.180358,00:00:07
