"Year","Month","Stop","Total_Ins","Total_Outs","NbrStops","Mean_Ins","Mean_Outs","Mean_Load","NbrTrips","Lat","Lon","Mean_DwellTime"
"2020","Feb","10",128,46,84,1.52380952380952,0.547619047619048,14.1157894736842,190,40.071392,-75.038276,00:00:08
"2020","Feb","1003",284,224,277,1.02527075812274,0.808664259927798,13.3889980353635,509,40.054569,-75.125045,00:00:07
"2020","Feb","1006",661,173,392,1.68622448979592,0.441326530612245,16.5851528384279,687,40.034843,-75.044662,00:00:08
"2020","Feb","1007",517,434,423,1.22222222222222,1.02600472813239,17.390350877193,684,40.032382,-75.050949,00:00:09
"2020","Feb","1008",2414,496,493,4.89655172413793,1.00608519269777,15.6079365079365,630,40.061286,-75.083656,00:00:23
"2020","Feb","1009",629,453,323,1.94736842105263,1.40247678018576,15.6603174603175,630,40.054321,-75.071662,00:00:08
"2020","Feb","101",12214,6220,3302,3.69897032101757,1.88370684433677,3.38111336488618,4437,39.925312,-75.14167,00:05:31
"2020","Feb","1013",784,591,440,1.78181818181818,1.34318181818182,13.3328267477204,658,40.044666,-75.054794,00:00:18
"2020","Feb","1014",0,2,2,0,1,8.32596685082873,362,40.031257,-75.036186,00:00:00
"2020","Feb","1016",14,50,36,0.388888888888889,1.38888888888889,4.12765957446809,141,40.030761,-75.022544,00:00:02
"2020","Feb","10185",176,259,235,0.748936170212766,1.10212765957447,12.2712643678161,870,39.98067,-75.252586,00:00:03
"2020","Feb","10188",101,133,117,0.863247863247863,1.13675213675214,12.0957324106113,867,39.982192,-75.249771,00:00:01
"2020","Feb","10189",132,234,202,0.653465346534653,1.15841584158416,11.9390103567319,869,39.982833,-75.248481,00:00:02
"2020","Feb","1019",233,51,134,1.73880597014925,0.380597014925373,9.43636363636364,330,40.031364,-75.021713,00:00:06
"2020","Feb","1021",1671,218,354,4.72033898305085,0.615819209039548,8.2070796460177,565,40.030818,-75.035629,00:00:14
"2020","Feb","1023",641,823,313,2.04792332268371,2.62939297124601,13.3571428571429,560,40.044288,-75.053901,00:00:16
"2020","Feb","1024",1914,1108,535,3.57757009345794,2.07102803738318,15.6740088105727,681,40.047897,-75.060127,00:00:18
"2020","Feb","1025",349,300,260,1.34230769230769,1.15384615384615,15.9309838472834,681,40.052169,-75.067619,00:00:05
"2020","Feb","10255",206,619,341,0.604105571847507,1.81524926686217,5.1911532385466,633,39.951511,-75.157218,00:00:08
"2020","Feb","10257",0,1,1,0,1,9,1,39.951572,-75.156562,00:00:10
"2020","Feb","10258",69,174,74,0.932432432432432,2.35135135135135,14.1222222222222,90,39.951782,-75.158111,00:00:12
"2020","Feb","10259",364,1163,493,0.738336713995943,2.35902636916836,6.64148351648352,728,39.951747,-75.15921,00:00:11
"2020","Feb","10262",1440,215,560,2.57142857142857,0.383928571428571,6.68937048503612,969,39.951953,-75.159553,00:00:19
"2020","Feb","10263",504,1152,507,0.994082840236686,2.27218934911243,7.73901098901099,728,39.95203,-75.161598,00:00:12
"2020","Feb","10264",70,143,68,1.02941176470588,2.10294117647059,13.4175824175824,91,39.952152,-75.161262,00:00:12
"2020","Feb","10266",1873,6771,1843,1.01627780792187,3.67390124796527,6.27649006622517,2416,39.952548,-75.165473,00:00:29
"2020","Feb","1027",435,644,392,1.10969387755102,1.64285714285714,12.5370051635112,1162,40.05751,-75.076889,00:00:05
"2020","Feb","10272",728,1977,1137,0.64028144239226,1.73878627968338,9.09047202797203,2288,39.953121,-75.170173,00:00:07
"2020","Feb","10275",710,1359,923,0.769230769230769,1.47237269772481,9.28476454293629,1805,39.953319,-75.171722,00:00:08
"2020","Feb","10279",602,339,538,1.11895910780669,0.630111524163569,12.6341463414634,1394,39.953872,-75.174919,00:00:06
"2020","Feb","1028",1485,1645,783,1.89655172413793,2.10089399744572,12.2013769363167,1162,40.061233,-75.083305,00:00:18
"2020","Feb","10281",1258,758,876,1.43607305936073,0.865296803652968,12.8659793814433,1552,39.954067,-75.176498,00:00:12
"2020","Feb","10282",559,483,486,1.15020576131687,0.993827160493827,13.0881088825215,1396,39.954216,-75.177658,00:00:04
"2020","Feb","10283",463,533,507,0.913214990138067,1.05128205128205,9.18861209964413,1405,39.954086,-75.177925,00:00:06
"2020","Feb","10285",274,579,381,0.719160104986877,1.51968503937008,10.7042673828708,3351,39.95425,-75.179244,00:00:01
"2020","Feb","10288",32,41,40,0.8,1.025,10.1777777777778,90,39.949897,-75.143852,00:00:09
"2020","Feb","1029",21,24,35,0.6,0.685714285714286,6.66842105263158,190,40.065498,-75.09008,00:00:02
"2020","Feb","103",2026,1668,507,3.99605522682446,3.28994082840237,11.4884547069272,563,39.916919,-75.171165,00:00:35
"2020","Feb","1030",215,236,245,0.877551020408163,0.963265306122449,10.2347826086957,575,40.054931,-75.124557,00:00:06
"2020","Feb","10311",0,0,0,NA,NA,2,1,39.950401,-75.147087,00:00:00
"2020","Feb","1032",557,165,334,1.66766467065868,0.494011976047904,6.577065351418,811,40.004306,-75.067153,00:00:05
"2020","Feb","10329",0,3,2,0,1.5,5.33333333333333,3,39.950702,-75.150543,00:00:06
"2020","Feb","10331",91,1009,395,0.230379746835443,2.55443037974684,1.625,608,39.950874,-75.152153,00:00:09
"2020","Feb","10338",160,97,67,2.38805970149254,1.44776119402985,15.2888888888889,90,39.95119,-75.153366,00:00:14
"2020","Feb","10340",71,584,289,0.245674740484429,2.02076124567474,4.37854889589905,634,39.951328,-75.155708,00:00:07
"2020","Feb","10341",1,0,1,1,0,10,1,39.951385,-75.15496,00:00:05
"2020","Feb","1036",296,370,237,1.24894514767932,1.56118143459916,7.94248608534323,539,40.004371,-75.067329,00:00:06
"2020","Feb","1037",58,358,150,0.386666666666667,2.38666666666667,2.45660377358491,530,39.984245,-75.099121,00:00:03
"2020","Feb","1041",282,542,214,1.31775700934579,2.53271028037383,9.58895705521472,326,40.02275,-75.133384,00:00:16
"2020","Feb","1042",70,200,100,0.7,2,6.79076923076923,325,40.024604,-75.147689,00:00:05
"2020","Feb","1045",825,439,218,3.78440366972477,2.01376146788991,6.44571428571429,350,40.024551,-75.148246,00:00:31
"2020","Feb","1046",560,337,237,2.36286919831224,1.42194092827004,9.46,350,40.022651,-75.133628,00:00:17
"2020","Feb","1047",142,334,138,1.02898550724638,2.42028985507246,8.07758620689655,348,40.01831,-75.099037,00:00:02
"2020","Feb","10485",12,14,22,0.545454545454545,0.636363636363636,6.21212121212121,99,40.109714,-74.986602,00:00:02
"2020","Feb","105",989,364,351,2.81766381766382,1.03703703703704,12.8486140724947,469,39.919704,-75.188102,00:00:16
"2020","Feb","1051",50,7,27,1.85185185185185,0.259259259259259,4.53333333333333,120,40.073856,-75.197517,00:00:03
"2020","Feb","1052",425,513,369,1.15176151761518,1.39024390243902,13.989539748954,478,40.100681,-75.153884,00:00:10
"2020","Feb","1053",25,5,22,1.13636363636364,0.227272727272727,8.06666666666667,120,40.092098,-75.13665,00:00:02
"2020","Feb","1055",27,27,32,0.84375,0.84375,7.45049504950495,202,40.081405,-75.116874,00:00:02
"2020","Feb","1056",974,1853,502,1.9402390438247,3.69123505976096,13.3116490166415,661,40.047779,-75.060173,00:00:19
"2020","Feb","1058",330,68,115,2.8695652173913,0.591304347826087,1.54205607476636,214,40.042633,-75.055656,00:06:48
"2020","Feb","106",69,55,61,1.13114754098361,0.901639344262295,13.4539877300613,163,39.939376,-75.179748,00:00:05
"2020","Feb","1060",5,16,13,0.384615384615385,1.23076923076923,9.73109243697479,119,40.08123,-75.116783,00:00:01
"2020","Feb","1063",67,75,75,0.893333333333333,1,7.68067226890756,119,40.092353,-75.138328,00:00:08
"2020","Feb","1064",67,193,94,0.712765957446808,2.0531914893617,6.35833333333333,120,40.100578,-75.153312,00:00:12
"2020","Feb","1066",11,76,32,0.34375,2.375,3.94642857142857,112,40.074089,-75.197509,00:00:03
"2020","Feb","1068",6911,3343,2372,2.91357504215852,1.40935919055649,1.85182207931404,3732,39.927486,-75.194389,00:04:38
"2020","Feb","1069",2122,1220,1232,1.7224025974026,0.99025974025974,13.5699947173798,1893,39.925567,-75.179336,00:00:12
