GEOID,NAME,education_BA,education_MS,education_tot,eductation_HS,med_age,med_income,total_pop,education_HS_p,education_BA_p,education_MS_p,income_bucket
42101000100,"Census Tract 1, Philadelphia County, Pennsylvania",723,389,3596,155,31.3,102448,4166,0.04,0.17,0.09,very_high_income
42101000200,"Census Tract 2, Philadelphia County, Pennsylvania",266,58,2029,228,33.3,47243,2576,0.09,0.1,0.02,mid_income
42101000300,"Census Tract 3, Philadelphia County, Pennsylvania",427,215,2730,49,35.4,91354,3444,0.01,0.12,0.06,high_income
42101000401,"Census Tract 4.01, Philadelphia County, Pennsylvania",426,174,2328,72,33.5,62821,2591,0.03,0.16,0.07,high_income
42101000402,"Census Tract 4.02, Philadelphia County, Pennsylvania",596,397,3725,65,51,78648,3880,0.02,0.15,0.1,high_income
42101000500,"Census Tract 5, Philadelphia County, Pennsylvania",179,167,2080,391,32.2,43702,2471,0.16,0.07,0.07,mid_income
42101000600,"Census Tract 6, Philadelphia County, Pennsylvania",146,64,967,29,30.6,82833,1207,0.02,0.12,0.05,high_income
42101000700,"Census Tract 7, Philadelphia County, Pennsylvania",404,461,3269,58,31.8,55250,3734,0.02,0.11,0.12,high_income
42101000801,"Census Tract 8.01, Philadelphia County, Pennsylvania",257,62,1131,27,30.3,125822,1429,0.02,0.18,0.04,very_high_income
42101000803,"Census Tract 8.03, Philadelphia County, Pennsylvania",596,183,2608,14,35.4,59560,3096,0,0.19,0.06,high_income
42101000804,"Census Tract 8.04, Philadelphia County, Pennsylvania",544,407,4092,72,35,92281,4632,0.02,0.12,0.09,high_income
42101000901,"Census Tract 9.01, Philadelphia County, Pennsylvania",346,151,1698,80,30.8,44444,2030,0.04,0.17,0.07,mid_income
42101000902,"Census Tract 9.02, Philadelphia County, Pennsylvania",395,176,2201,92,30.9,59174,2893,0.03,0.14,0.06,high_income
42101001001,"Census Tract 10.01, Philadelphia County, Pennsylvania",380,169,2197,65,56.2,104250,2540,0.03,0.15,0.07,very_high_income
42101001002,"Census Tract 10.02, Philadelphia County, Pennsylvania",477,291,2991,38,40.8,122358,3494,0.01,0.14,0.08,very_high_income
42101001101,"Census Tract 11.01, Philadelphia County, Pennsylvania",329,287,2757,137,30,65000,3436,0.04,0.1,0.08,high_income
